MSSubClass,BldgType,OverallCond,Functional,LotFrontage_clean,LotArea_clean_tr,GrLiveArea_clean
10,0,6,6,60.0,6.258269289063796,1641.0
8,0,6,6,52.0,5.741652680219582,1573.0
12,0,4,6,0.0,6.759836261821716,1472.0
8,0,6,4,75.0,6.59838382282217,1750.0
9,0,4,6,68.0,6.4037604175937615,1768.0
4,0,4,6,72.0,6.17800850567412,1196.0
4,0,4,6,67.0,6.147085017246478,1126.0
4,0,2,6,0.0,6.488429169812621,845.0
9,0,3,3,0.0,6.439746132903546,1968.0
8,0,6,6,60.0,6.27615923969046,1221.0
10,0,6,6,60.0,5.143520796755042,1368.0
1,3,5,6,21.0,4.511509334477726,987.0
4,0,4,6,114.0,6.353993924755753,1442.0
4,0,4,6,67.0,6.161028871630209,1220.0
4,0,4,6,63.0,6.105916212096592,1500.0
9,0,4,6,0.0,6.97803838822277,2450.0
4,0,4,2,0.0,7.240534300907341,2207.0
4,0,4,6,64.0,5.834653008207044,1208.0
8,0,4,6,81.0,6.560172443659669,1795.0
14,2,2,6,42.0,5.989935427185066,1440.0
4,0,4,6,83.0,6.361705253678903,1212.0
8,0,6,6,0.0,5.638647832550005,1111.0
9,0,8,6,0.0,6.17292043584977,2715.0
9,0,4,6,57.0,6.167539112491606,1724.0
4,0,4,6,0.0,6.282847787900986,1328.0
4,0,4,6,70.0,6.093346248827459,1052.0
9,0,4,6,121.0,6.936552851293053,2417.0
4,0,5,6,60.0,6.062570198735462,948.0
10,0,7,6,60.0,6.478695576769098,2019.0
5,0,6,6,51.0,5.677673342291824,869.0
0,3,4,6,34.0,5.3996117919746025,1554.0
9,0,4,6,85.0,6.439746132903546,2112.0
5,0,6,6,0.0,7.599025367569846,1416.0
9,0,4,6,62.0,5.94322580578076,1593.0
4,0,6,6,78.0,6.226660251719744,1381.0
4,0,5,2,80.0,6.258269289063796,1632.0
5,0,6,6,50.0,5.753564925152674,954.0
13,0,4,6,64.0,5.924837857424507,1922.0
4,0,5,6,71.0,5.885862849825184,980.0
9,0,4,6,68.0,6.459970049778168,1786.0
4,0,4,6,75.0,6.320138090366269,1694.0
4,0,5,6,50.0,6.034176336545164,972.0
4,0,5,3,0.0,6.765573453416199,1437.0
9,0,4,6,0.0,6.210611944805823,2263.0
9,0,5,6,80.0,6.497880344838573,1725.0
4,0,5,2,72.0,6.310960940595876,1236.0
4,0,4,6,70.0,5.966290000837807,1040.0
4,0,4,6,98.0,6.48594473853302,1704.0
4,0,4,6,104.0,6.472667708987045,1523.0
4,0,4,6,81.0,6.45606062785261,1489.0
0,4,4,6,51.0,5.153483418634312,1569.0
4,0,4,6,70.0,6.191676799741621,1212.0
4,0,4,6,67.0,6.285156433038698,1573.0
9,0,4,3,80.0,6.359261263232546,1790.0
10,0,5,6,137.41000000000008,7.345439552185648,1576.0
9,0,4,6,64.0,6.149044783323334,1728.0
4,0,4,6,110.0,6.770815504364167,1600.0
4,0,4,6,86.0,6.76385433911632,1922.0
9,0,4,6,83.0,6.665681792383113,1692.0
4,0,4,6,84.0,6.442186443776074,1656.0
5,0,6,6,60.0,6.4074429950736125,1047.0
9,0,4,6,56.0,7.278768798697372,2728.0
4,0,4,6,100.0,6.331503970824474,1425.0
5,0,5,6,0.0,6.157832955161028,952.0
4,0,4,6,43.0,6.706611773112422,990.0
12,0,4,6,0.0,7.350173768685473,988.0
4,0,3,6,0.0,6.164218170542502,1056.0
4,0,4,6,42.0,6.832672510356938,1746.0
9,0,4,6,74.0,6.32726693010407,1718.0
12,0,5,3,70.0,6.63779178674273,1464.0
9,0,4,6,68.0,6.169058823491888,1660.0
0,4,4,6,61.0,5.981678573042379,1752.0
14,2,4,6,0.0,7.165498205638086,2620.0
9,0,4,6,130.0,8.221721900716576,3123.4800000000023
7,0,5,6,50.0,5.72126540620467,784.0
4,0,4,6,85.0,5.8701142718792925,1120.0
4,0,4,6,75.0,6.458246471611242,1382.0
9,0,4,6,0.0,6.501466373702722,1386.0
4,0,2,6,50.0,5.49280271653059,334.0
1,4,4,6,30.0,5.018108359035555,1200.0
0,4,4,6,0.0,4.98292375846207,1414.0
14,2,4,4,65.0,6.170301110514775,1584.0
10,0,6,6,0.0,6.481077784429391,1517.0
4,0,6,6,80.0,6.435670709429189,1258.0
4,0,5,6,0.0,5.729269550361842,902.0
4,0,4,6,63.0,6.6568444330626,1158.0
5,0,6,6,80.0,6.6859217837531055,964.0
9,0,4,5,0.0,7.131801946345739,2380.0
4,0,4,6,64.0,5.926946283464065,1232.0
4,0,6,6,60.0,5.905067806081953,864.0
9,0,5,6,82.0,6.464213695436583,1982.0
9,0,4,6,78.0,6.54509317364063,1924.0
10,0,8,6,53.0,6.421383651162948,2080.0
9,0,4,6,62.0,6.021603133015821,1647.0
0,4,4,6,50.0,6.035985504270898,1617.0
4,0,5,6,60.0,6.186223971552927,1340.0
4,0,4,6,83.0,6.3295114825055085,1940.0
8,0,3,6,75.0,6.248460041315679,1855.0
13,0,6,6,0.0,6.202525183063819,884.0
1,3,4,6,36.0,4.829754682108618,1626.0
8,0,6,6,50.0,5.114622783130152,1284.0
9,0,4,6,0.0,6.459970049778168,2290.0
14,2,4,6,110.0,6.103756354388637,816.0
8,0,4,6,0.0,6.7329964919108605,2183.0
8,0,5,6,98.0,6.153096369297951,1869.0
11,0,4,6,53.0,5.896489617936877,1646.0
4,0,4,6,88.0,6.430298689661663,1844.0
4,0,4,6,89.0,6.429947716366707,1571.0
8,0,4,4,63.0,6.480057267205734,2082.0
14,2,4,6,82.0,6.439164560950331,1959.0
9,0,4,6,93.0,6.543784830878372,2374.0
9,0,5,6,100.0,6.649495102097494,2142.0
1,4,4,6,30.0,5.017477388519056,1200.0
9,0,4,6,75.0,6.228654698077587,1992.0
9,0,4,6,0.0,6.431000406460921,2285.0
4,0,4,6,0.0,8.221721900716576,1824.0
4,0,4,6,98.0,6.934305298085815,1850.0
3,1,6,6,62.0,6.322893383066582,1355.0
9,0,4,6,72.0,6.467646327000473,1668.0
8,0,6,6,0.0,6.022059418777901,1406.0
4,0,5,4,137.0,6.9735619803860205,1888.0
0,4,4,6,40.0,5.418536129158608,1228.0
